timestamp,open,high,low,close,volume
2022-01-01 00:00:00+00:00,46211.24,46744.99,46205.0,46656.85,822.31631024
2022-01-01 01:00:00+00:00,46656.85,46931.0,46573.65,46780.85,686.07385399
2022-01-01 02:00:00+00:00,46778.0,46929.2,46728.5,46808.55,433.37379104
2022-01-01 03:00:00+00:00,46808.55,46895.06,46757.45,46804.01,354.24451222
2022-01-01 04:00:00+00:00,46804.0,46872.86,46621.59,46701.29,495.42676441
2022-01-01 05:00:00+00:00,46696.45,47548.53,46668.64,47188.0,642.63840159
2022-01-01 06:00:00+00:00,47188.0,47327.89,46944.81,46976.98,380.56047962
2022-01-01 07:00:00+00:00,46982.82,47251.76,46903.5,47200.01,298.90128256
2022-01-01 08:00:00+00:00,47200.14,47347.54,47087.17,47119.93,215.98324574
2022-01-01 09:00:00+00:00,47124.07,47212.89,46938.37,47139.67,137.01504693
2022-01-01 10:00:00+00:00,47139.66,47299.79,46722.71,46863.79,267.99629024
2022-01-01 11:00:00+00:00,46863.79,47000.0,46205.0,46758.11,490.03927819
2022-01-01 12:00:00+00:00,46754.97,47155.28,46754.97,47085.01,137.75219026
2022-01-01 13:00:00+00:00,47085.01,47206.01,46950.75,47023.9,153.96634482
2022-01-01 14:00:00+00:00,47023.89,47115.48,46855.69,46926.47,202.86323425
2022-01-01 15:00:00+00:00,46926.42,47486.85,46872.46,47231.0,517.2656672
2022-01-01 16:00:00+00:00,47231.0,47549.69,47202.18,47302.78,714.76515328
2022-01-01 17:00:00+00:00,47301.52,47967.12,47260.55,47769.78,518.79278746
2022-01-01 18:00:00+00:00,47769.78,47850.0,47436.76,47578.42,381.57847244
2022-01-01 19:00:00+00:00,47577.44,47634.98,47305.71,47347.77,335.73703623
2022-01-01 20:00:00+00:00,47347.22,47579.24,47265.78,47413.98,306.43230366
2022-01-01 21:00:00+00:00,47413.98,47550.0,47288.18,47335.57,377.38180615
2022-01-01 22:00:00+00:00,47334.12,47500.0,47245.84,47455.8,240.04421362
2022-01-01 23:00:00+00:00,47455.8,47823.25,47295.97,47733.43,352.51324496
